Subject,01_baldessari.csv,02_world_photo.csv,03_baldessari.csv,04_berlin_wall_bresson.csv,05_cartierbresson_hyeres_1932.csv,06_evidence_pp35_sultan.csv,07_gilden.csv,08_rodchenko.csv,09_polke.csv,10_jones_1.csv,11_jones_2.csv,12_bishop.csv
,0,0,0,0,0,0,0,0,0,0,0,0
420_EOYS_images,383,296,278,150,180,387,218,179,231,248,178,181
Ada_EOYS_images,221,170,159,125,160,181,198,186,156,125,168,88
Adams_EOYS_images,289,240,238,228,173,198,160,271,271,190,264,157
DD_EOYS_images,138,77,33,36,23,50,20,24,32,22,12,18
Esmanifold_EOYS_images,340,217,388,342,316,147,258,383,730,329,263,403
Grant_EOYS_images,422,147,265,167,127,318,202,257,900,149,188,108
Lydia_EOYS_images,444,341,252,653,228,121,287,365,318,428,256,176
Olifa_EOYS_images,468,335,307,149,193,481,162,259,430,109,82,130
Taylor_EOYS_images,218,118,194,154,170,167,162,226,197,146,137,92
Tracy_EOYS_images,1172,996,503,587,531,1352,708,580,1407,303,421,455
alex_EOYS_images,136,162,144,189,124,249,161,110,241,127,134,74
brenda_EOYS_images,237,271,282,220,179,264,228,187,286,176,238,139
bridge_EOYS_images,211,290,342,129,77,87,79,145,122,89,89,96
christina hefancui_EOYS_images,412,402,329,529,210,241,260,407,510,148,114,169
jake_EOYS_images,995,591,1086,886,900,1242,914,1421,2089,887,655,317
manyfolds_EOYS_images,208,200,172,162,232,752,163,183,249,151,65,105
marco_EOYS_images,796,188,192,168,145,471,431,342,344,188,230,173
nanaannana_EOYS_images,275,244,320,201,196,300,215,350,519,336,217,195
payton_EOYS_images,222,197,359,242,179,446,224,238,488,361,276,156
rumi_EOYS_images,511,162,226,104,174,109,130,252,234,213,161,177
seth_EOYS_images,390,135,280,251,247,233,191,248,157,200,146,76
shaokang_EOYS_images,167,182,177,128,113,134,78,172,202,115,76,39
shawxiao_EOYS_images,207,284,312,316,188,295,216,453,352,222,198,212
tl_EOYS_images,397,462,335,322,250,526,255,197,165,139,221,158
yve_EOYS_images,96,103,98,78,72,111,84,120,143,106,98,108
